Datetime,time,open,high,low,close,tick_volume,spread,real_volume,month,year,day_week,date,Mean,Mead,Max_Mean,Max_Min,SMA,SMA_Diff_1,SMA_Diff_Perc_1,SMA_Diff_2,SMA_Diff_Perc_2,Diff_Diff,Mean_Diff,Change,returns,volatility
2020-03-05,1583366400,107.515,107.734,105.965,106.146,102552,14,0,3,2020,3,2020-03-05,106.84,106.8495,0.8939999999999912,1.7689999999999912,,,,,,,,1.669419147831823,,
2020-03-06,1583452800,106.145,106.337,104.986,105.344,162970,14,0,3,2020,4,2020-03-06,105.703,105.6615,0.6340000000000003,1.350999999999999,,,,,,-0.8020000000000067,-1.1370000000000005,1.2868382450993456,0.8020000000000067,
2020-03-09,1583712000,104.198,104.584,101.176,102.354,215238,14,0,3,2020,0,2020-03-09,103.07799999999999,102.88,1.5060000000000144,3.4080000000000013,,,,,,-2.989999999999995,-2.625000000000014,3.368387759943071,2.989999999999995,
2020-03-10,1583798400,102.351,105.914,102.009,105.622,235338,14,0,3,2020,1,2020-03-10,103.974,103.9615,1.9399999999999977,3.905000000000001,,,,,,3.2680000000000007,0.896000000000015,3.8280935995843515,3.2680000000000007,
2020-03-11,1583884800,105.62,105.644,104.085,104.529,189668,14,0,3,2020,2,2020-03-11,104.9695,104.86449999999999,0.674500000000009,1.5590000000000117,,,,,,-1.0930000000000035,0.9954999999999927,1.4978142864005495,1.0930000000000035,
2020-03-12,1583971200,104.529,106.096,103.073,104.623,221584,14,0,3,2020,3,2020-03-12,104.58024999999999,104.58449999999999,1.5157500000000113,3.0230000000000103,,,,,,0.0940000000000083,-0.3892500000000041,2.932872818293841,0.0940000000000083,
2020-03-13,1584057600,104.623,108.496,104.499,107.905,228788,14,0,3,2020,4,2020-03-13,106.38075,106.4975,2.115249999999989,3.997,,,,,,3.2819999999999965,1.8005000000000138,3.82491698485153,3.2819999999999965,
2020-03-16,1584316800,106.992,107.561,105.139,105.798,228496,14,0,3,2020,0,2020-03-16,106.3725,106.35,1.1885000000000048,2.4220000000000113,,,,,,-2.1069999999999993,-0.008250000000003865,2.3036171163887915,2.1069999999999993,
2020-03-17,1584403200,105.823,107.856,105.823,107.682,304977,14,0,3,2020,1,2020-03-17,106.79599999999999,106.83949999999999,1.0600000000000023,2.0330000000000013,,,,,,1.8840000000000003,0.42349999999999,1.9211324570273014,1.8840000000000003,
2020-03-18,1584489600,107.682,108.648,106.746,108.037,275919,13,0,3,2020,2,2020-03-18,107.77824999999999,107.697,0.8697500000000105,1.902000000000001,,,,,,0.355000000000004,0.9822499999999934,1.7817997864088595,0.355000000000004,
2020-03-19,1584576000,108.037,110.947,107.859,110.696,293559,14,0,3,2020,3,2020-03-19,109.38475,109.40299999999999,1.562250000000006,3.088000000000008,,,,,,2.658999999999992,1.6065000000000111,2.8629970609777655,2.658999999999992,
2020-03-20,1584662400,110.699,111.499,109.322,110.784,235450,14,0,3,2020,4,2020-03-20,110.576,110.4105,0.9230000000000018,2.1769999999999925,,,,,,0.08800000000000807,1.1912499999999966,1.9913649585627708,0.08800000000000807,
2020-03-23,1584921600,110.767,111.59,109.662,111.203,228310,14,0,3,2020,0,2020-03-23,110.8055,110.626,0.7845000000000084,1.9279999999999973,,,,,,0.41899999999999693,0.2295000000000016,1.7581295252685498,0.41899999999999693,
