Datetime,time,open,high,low,close,tick_volume,spread,real_volume,month,year,day_week,date,SMA_50,SMA_200,Volatility_pct,Volatility_abs,range,range_2,range_3,Above_SMA_50,Below_SMA_50,Above_SMA_200,Below_SMA_200
2024-10-29 00:00:00,1730160000,153.274,153.277,153.236,153.249,228,17,0,10,2024,1,2024-10-29,152.5688,151.21104,0.11463221455108104,0.6811830345306246,0.21769000000000005,0.04099999999999682,-0.025000000000005684,True,False,True,False
2024-10-29 01:00:00,1730163600,153.257,153.359,153.237,153.3,992,12,0,10,2024,1,2024-10-29,152.59856000000002,151.22939,0.11454968111195554,0.6799479319814333,0.21606000000000009,0.1220000000000141,0.043000000000006366,True,False,True,False
2024-10-29 02:00:00,1730167200,153.3,153.32,153.138,153.138,1991,7,0,10,2024,1,2024-10-29,152.62508,151.2465,0.11588529532055279,0.6744806570513694,0.21598000000000014,0.18199999999998795,-0.16200000000000614,True,False,True,False
2024-10-29 03:00:00,1730170800,153.141,153.242,152.893,153.014,4545,7,0,10,2024,1,2024-10-29,152.65156000000002,151.262845,0.11589583841903718,0.6629111480476411,0.2173100000000001,0.34899999999998954,-0.12699999999998113,True,False,True,False
2024-10-29 04:00:00,1730174400,153.015,153.131,152.865,152.939,5163,7,0,10,2024,1,2024-10-29,152.67454,151.27877,0.1160544978185544,0.6522651335856925,0.218275,0.26599999999999113,-0.0759999999999934,True,False,True,False
2024-10-29 05:00:00,1730178000,152.94,153.051,152.848,152.991,4592,7,0,10,2024,1,2024-10-29,152.69422,151.294855,0.11461967933015638,0.6465325501234399,0.21901999999999988,0.20299999999997453,0.051000000000016144,True,False,True,False
2024-10-29 06:00:00,1730181600,152.992,153.162,152.946,153.042,3870,7,0,10,2024,1,2024-10-29,152.71814,151.31149000000002,0.11335683422966185,0.6365576752183021,0.2196499999999999,0.21600000000000819,0.05000000000001137,True,False,True,False
2024-10-29 07:00:00,1730185200,153.048,153.048,152.871,152.924,3560,7,0,10,2024,1,2024-10-29,152.74006,151.32787,0.1140545922805872,0.6240271255892428,0.2199249999999998,0.1769999999999925,-0.12399999999999523,True,False,True,False
2024-10-29 08:00:00,1730188800,152.924,152.953,152.752,152.831,3974,7,0,10,2024,1,2024-10-29,152.75966,151.34409,0.11454995708914517,0.6107826564917985,0.2206149999999998,0.2009999999999934,-0.09300000000001774,True,False,True,False
2024-10-29 09:00:00,1730192400,152.834,153.067,152.832,152.995,3841,7,0,10,2024,1,2024-10-29,152.7855,151.36118,0.11418248011005713,0.5922145657095352,0.22108999999999981,0.23500000000001364,0.16100000000000136,True,False,True,False
2024-10-29 10:00:00,1730196000,152.996,153.268,152.996,153.161,4918,7,0,10,2024,1,2024-10-29,152.81408000000002,151.37917000000002,0.11491324212360217,0.5745536631495289,0.2217799999999997,0.27199999999999136,0.16499999999999204,True,False,True,False
2024-10-29 11:00:00,1730199600,153.161,153.444,153.153,153.392,6245,7,0,10,2024,1,2024-10-29,152.84472,151.398405,0.1160655247244912,0.56337659279379,0.2223199999999997,0.2909999999999968,0.23099999999999454,True,False,True,False
2024-10-29 12:00:00,1730203200,153.392,153.438,153.322,153.408,4613,7,0,10,2024,1,2024-10-29,152.87372000000002,151.41853500000002,0.11589531135306184,0.554043173741156,0.22155999999999965,0.11599999999998545,0.015999999999991132,True,False,True,False
2024-10-29 13:00:00,1730206800,153.41,153.486,153.316,153.336,3844,7,0,10,2024,1,2024-10-29,152.9014,151.43818,0.11622843176618941,0.5414842413914777,0.22150499999999965,0.1699999999999875,-0.07399999999998386,True,False,True,False
2024-10-29 14:00:00,1730210400,153.337,153.671,153.316,153.671,4444,7,0,10,2024,1,2024-10-29,152.93484,151.458765,0.11962416499226901,0.5362207267133068,0.22245999999999966,0.35499999999998977,0.3340000000000032,True,False,True,False
2024-10-29 15:00:00,1730214000,153.671,153.861,153.65,153.76,4911,7,0,10,2024,1,2024-10-29,152.97216,151.47986500000002,0.11899846621769217,0.5271603311097443,0.22260999999999967,0.2109999999999843,0.08899999999999864,True,False,True,False
