Datetime,time,open,high,low,close,tick_volume,spread,real_volume,month,year,day_week,date,Mean,Mead,Max_Mean,Max_Min,SMA,SMA_Diff_1,SMA_Diff_Perc_1,SMA_Diff_2,SMA_Diff_Perc_2,Diff_Diff,Mean_Diff,Change,returns,volatility
2020-02-10,1581292800,9394.0,9525.5,9324.5,9520.6,147143,50,0,2,2020,0,2020-02-10,9441.15,9425.0,84.35000000000036,201.0,,,,,,,,2.155611560941605,,
2020-02-11,1581379200,9517.6,9603.8,9495.9,9526.7,143312,40,0,2,2020,1,2020-02-11,9536.0,9549.849999999999,67.79999999999927,107.89999999999964,,,,,,6.100000000000364,94.85000000000036,1.1362798681536204,6.100000000000364,
2020-02-12,1581465600,9528.0,9622.9,9518.9,9618.5,118996,40,0,2,2020,2,2020-02-12,9572.075,9570.9,50.82499999999891,104.0,,,,,,91.79999999999927,36.07500000000073,1.0925632163380223,91.79999999999927,
2020-02-13,1581552000,9613.4,9638.8,9505.5,9619.1,167063,40,0,2,2020,3,2020-02-13,9594.199999999999,9572.15,44.600000000000364,133.29999999999927,,,,,,0.6000000000003638,22.12499999999818,1.4023460102046108,0.6000000000003638,
2020-02-14,1581638400,9620.8,9654.0,9583.7,9629.0,124039,50,0,2,2020,4,2020-02-14,9621.875,9618.85,32.125,70.29999999999927,,,,,,9.899999999999636,27.67500000000109,0.7335371516220173,9.899999999999636,
2020-02-17,1581897600,9630.7,9683.2,9630.6,9661.9,45475,40,0,2,2020,0,2020-02-17,9651.6,9656.900000000001,31.600000000000364,52.600000000000364,,,,,,32.899999999999636,29.725000000000364,0.5461757315224427,32.899999999999636,
2020-02-18,1581984000,9602.9,9650.4,9530.2,9636.4,142079,50,0,2,2020,1,2020-02-18,9604.974999999999,9590.3,45.42500000000109,120.19999999999891,,,,,,-25.5,-46.62500000000182,1.261253698768115,25.5,
2020-02-19,1582070400,9636.3,9741.2,9634.1,9726.3,101192,40,0,2,2020,2,2020-02-19,9684.475,9687.650000000001,56.725000000000364,107.10000000000036,,,,,,89.89999999999964,79.50000000000182,1.1116762333793542,89.89999999999964,
2020-02-20,1582156800,9735.1,9755.9,9510.3,9612.2,192828,50,0,2,2020,3,2020-02-20,9653.375,9633.099999999999,102.52499999999964,245.60000000000036,,,,,,-114.09999999999854,-31.100000000000364,2.5824632240833663,114.09999999999854,
2020-02-21,1582243200,9609.2,9617.3,9405.4,9448.7,222927,40,0,2,2020,4,2020-02-21,9520.15,9511.349999999999,97.14999999999964,211.89999999999964,,,,,,-163.5,-133.22500000000036,2.252961064920149,163.5,
