Datetime,time,open,high,low,close,tick_volume,spread,real_volume,month,year,day_week,date,SMA_50,SMA_200,Volatility_pct,Volatility_abs,range,range_2,range_3,Above_SMA_50,Below_SMA_50,Above_SMA_200,Below_SMA_200
2024-08-06 03:00:00,1722913200,2404.72,2418.35,2404.61,2415.9,8716,15,0,8,2024,1,2024-08-06,2433.5254,2408.45195,0.39411952217251417,24.18233021721606,8.326150000000016,13.739999999999782,11.180000000000291,False,True,True,False
2024-08-06 04:00:00,1722916800,2415.88,2417.63,2410.77,2412.44,9918,16,0,8,2024,1,2024-08-06,2432.8402,2408.455,0.3937082924198675,24.286562463335645,8.338650000000015,6.860000000000127,-3.4400000000000546,False,True,True,False
2024-08-06 05:00:00,1722920400,2412.48,2413.19,2405.8,2407.49,8152,13,0,8,2024,1,2024-08-06,2432.0856,2408.4251999999997,0.39448722772240713,24.47944611884646,8.350150000000017,7.389999999999873,-4.9900000000002365,False,True,False,True
2024-08-06 06:00:00,1722924000,2407.53,2411.02,2406.45,2409.04,6918,15,0,8,2024,1,2024-08-06,2431.3526,2408.4027499999997,0.3946546633879606,24.61212425713748,8.351550000000017,4.570000000000164,1.5099999999997635,False,True,True,False
2024-08-06 07:00:00,1722927600,2409.01,2412.58,2406.43,2408.1,5933,13,0,8,2024,1,2024-08-06,2430.5359999999996,2408.3562,0.3939634623826932,24.694233401041323,8.34600000000002,6.150000000000091,-0.9100000000003092,False,True,False,True
2024-08-06 08:00:00,1722931200,2408.11,2411.82,2398.08,2398.69,9010,14,0,8,2024,1,2024-08-06,2429.5688,2408.2426,0.39716728374075816,24.979638535966792,8.38550000000002,13.740000000000236,-9.420000000000073,False,True,False,True
2024-08-06 09:00:00,1722934800,2398.69,2408.27,2394.73,2401.51,11508,13,0,8,2024,1,2024-08-06,2428.4882000000002,2408.1419,0.39392819065846124,25.001854191643755,8.38810000000002,13.539999999999964,2.8200000000001637,False,True,False,True
2024-08-06 10:00:00,1722938400,2401.41,2410.68,2401.4,2409.89,10222,13,0,8,2024,1,2024-08-06,2427.5978,2408.04045,0.3978220750668734,24.85215699503632,8.37100000000002,9.279999999999745,8.480000000000018,False,True,True,False
2024-08-06 11:00:00,1722942000,2409.89,2415.42,2408.17,2411.09,8954,15,0,8,2024,1,2024-08-06,2426.6622,2407.9723,0.3972036281359764,24.568184859812845,8.362350000000019,7.25,1.2000000000002728,False,True,True,False
2024-08-06 12:00:00,1722945600,2411.1,2415.54,2410.32,2413.31,8209,13,0,8,2024,1,2024-08-06,2425.5932000000003,2407.9434,0.3934842703249992,23.942746031105603,8.356750000000018,5.2199999999998,2.2100000000000364,False,True,True,False
2024-08-06 13:00:00,1722949200,2413.29,2416.32,2411.54,2412.36,7760,13,0,8,2024,1,2024-08-06,2424.5298000000003,2407.95905,0.3934833570640574,23.305043641724428,8.322650000000017,4.7800000000002,-0.9299999999998363,False,True,True,False
2024-08-06 14:00:00,1722952800,2412.38,2415.21,2410.09,2410.91,8337,15,0,8,2024,1,2024-08-06,2423.5172000000002,2407.97275,0.393118329694551,22.757642362014973,8.328800000000017,5.119999999999891,-1.4700000000002547,False,True,True,False
2024-08-06 15:00:00,1722956400,2410.99,2412.14,2391.74,2392.93,11246,13,0,8,2024,1,2024-08-06,2422.1344,2407.9456,0.4054197808949457,22.465963204227652,8.379200000000019,20.40000000000009,-18.059999999999945,False,True,False,True
2024-08-06 16:00:00,1722960000,2393.03,2399.39,2388.74,2395.73,12535,14,0,8,2024,1,2024-08-06,2420.7724000000003,2407.9382,0.4057632505039721,21.944816091869203,8.414950000000019,10.650000000000091,2.699999999999818,False,True,False,True
2024-08-06 17:00:00,1722963600,2395.51,2403.08,2386.24,2388.35,12897,14,0,8,2024,1,2024-08-06,2419.268,2407.89055,0.4072730645656956,21.525300348703286,8.471400000000019,16.840000000000146,-7.160000000000309,False,True,False,True
2024-08-06 18:00:00,1722967200,2388.23,2391.12,2381.66,2387.51,11568,13,0,8,2024,1,2024-08-06,2417.8336,2407.8339499999997,0.40694866876278973,21.195072180451373,8.497350000000019,9.460000000000036,-0.7199999999997999,False,True,False,True
2024-08-06 19:00:00,1722970800,2387.65,2391.41,2385.56,2389.84,8886,16,0,8,2024,1,2024-08-06,2416.1736,2407.7982,0.3979702337248592,20.016564952300165,8.51050000000002,5.849999999999909,2.1900000000000546,False,True,False,True
2024-08-06 20:00:00,1722974400,2389.87,2393.48,2387.66,2391.91,8134,16,0,8,2024,1,2024-08-06,2414.617,2407.87625,0.3984698180706764,18.752248110120973,8.392600000000021,5.820000000000164,2.0399999999999636,False,True,False,True
2024-08-06 21:00:00,1722978000,2391.91,2395.98,2391.29,2392.74,6765,15,0,8,2024,1,2024-08-06,2413.8426,2407.97755,0.3359167222657439,18.84178235968299,8.36205000000002,4.690000000000055,0.8299999999999272,False,True,False,True
2024-08-06 22:00:00,1722981600,2392.75,2393.07,2386.35,2387.6,7462,15,0,8,2024,1,2024-08-06,2412.9322,2408.04165,0.33658499481286125,18.990459397347855,8.35135000000002,6.720000000000255,-5.150000000000091,False,True,False,True
2024-08-06 23:00:00,1722985200,2387.73,2389.44,2386.89,2389.13,3993,18,0,8,2024,1,2024-08-06,2412.1077999999998,2408.0998,0.33669875858556125,19.113208947886942,8.33980000000002,2.550000000000182,1.400000000000091,False,True,False,True
2024-08-07 01:00:00,1722992400,2391.2,2392.17,2387.95,2388.55,2604,18,0,8,2024,2,2024-08-07,2411.3222,2408.16075,0.33654890005082155,19.260484586055185,8.316800000000024,4.220000000000255,-2.649999999999636,False,True,False,True
2024-08-07 02:00:00,1722996000,2388.55,2389.69,2382.68,2383.74,3398,15,0,8,2024,2,2024-08-07,2410.4195999999997,2408.21935,0.33721119722110815,19.477598431350252,8.307100000000023,7.010000000000218,-4.8100000000004,False,True,False,True
2024-08-07 03:00:00,1722999600,2383.74,2387.35,2381.13,2386.45,5873,17,0,8,2024,2,2024-08-07,2409.3984,2408.282,0.3331724288889764,19.36648413088231,8.280050000000022,6.2199999999998,2.7100000000000364,False,True,False,True
2024-08-07 04:00:00,1723003200,2386.46,2387.58,2378.93,2383.97,10201,13,0,8,2024,2,2024-08-07,2408.2526000000003,2408.3285499999997,0.3320760069329538,19.136338848653754,8.295550000000024,8.650000000000091,-2.4900000000002365,False,True,False,True
2024-08-07 05:00:00,1723006800,2383.91,2388.35,2380.87,2384.33,8548,13,0,8,2024,2,2024-08-07,2407.1118,2408.3822999999998,0.3321128844338882,18.819351274899166,8.304450000000024,7.480000000000018,0.42000000000007276,False,True,False,True
2024-08-07 06:00:00,1723010400,2384.32,2387.41,2383.24,2385.89,6501,16,0,8,2024,2,2024-08-07,2406.0098000000003,2408.4056,0.33246531900158177,18.403717070197764,8.272600000000025,4.170000000000073,1.569999999999709,False,True,False,True
2024-08-07 07:00:00,1723014000,2385.88,2394.73,2385.74,2392.68,5877,14,0,8,2024,2,2024-08-07,2405.4231999999997,2408.52625,0.3183436865617057,18.350674506868483,8.248550000000028,8.990000000000236,6.799999999999727,False,True,False,True
2024-08-07 08:00:00,1723017600,2392.62,2396.21,2388.6,2391.38,7605,13,0,8,2024,2,2024-08-07,2404.4644,2408.6282,0.2999801744284032,17.787216822358864,8.215050000000026,7.610000000000127,-1.2399999999997817,False,True,False,True
2024-08-07 09:00:00,1723021200,2391.39,2397.64,2389.64,2394.75,8093,13,0,8,2024,2,2024-08-07,2403.5056,2408.7773,0.3000138537771621,16.957375875156,8.183600000000027,8.0,3.3600000000001273,False,True,False,True
2024-08-07 10:00:00,1723024800,2394.75,2394.91,2388.09,2389.23,8200,13,0,8,2024,2,2024-08-07,2402.2728,2408.8899,0.29625852463730934,15.632575752349931,8.165550000000023,6.819999999999709,-5.519999999999982,False,True,False,True
2024-08-07 11:00:00,1723028400,2389.2,2393.62,2388.4,2393.24,7007,13,0,8,2024,2,2024-08-07,2401.0836,2409.0409999999997,0.29735284253012295,13.881769686626953,8.160200000000023,5.2199999999998,4.039999999999964,False,True,False,True
2024-08-07 12:00:00,1723032000,2393.24,2396.36,2392.36,2394.33,6418,16,0,8,2024,2,2024-08-07,2400.2102,2409.19985,0.28677645832055304,12.84691823443868,8.145550000000023,4.0,1.0900000000001455,False,True,False,True
2024-08-07 13:00:00,1723035600,2394.46,2397.99,2393.06,2397.43,6383,13,0,8,2024,2,2024-08-07,2399.5854,2409.40655,0.2832561877899573,12.176736470053468,8.108900000000022,4.929999999999836,2.9699999999998,False,True,False,True
2024-08-07 14:00:00,1723039200,2397.33,2402.33,2394.35,2401.12,7008,13,0,8,2024,2,2024-08-07,2398.9702,2409.62615,0.28351975741660707,11.25389991178156,8.11830000000002,7.980000000000018,3.7899999999999636,True,False,False,True
2024-08-07 15:00:00,1723042800,2401.16,2406.97,2398.9,2403.88,8578,13,0,8,2024,2,2024-08-07,2398.5478,2409.8327,0.28171269188777415,10.63638101910521,8.11965000000002,8.069999999999709,2.7200000000002547,True,False,False,True
