Datetime,time,open,high,low,close,tick_volume,spread,real_volume,month,year,day_week,date,Mean,Mead,Max_Mean,Max_Min,SMA,SMA_Diff_1,SMA_Diff_Perc_1,SMA_Diff_2,SMA_Diff_Perc_2,Diff_Diff,Mean_Diff,Change,returns,volatility
2021-03-15,1615766400,60474.15,60734.82,54578.6,56384.01,197214,2290,0,3,2021,0,2021-03-15,58042.895000000004,57656.71,2691.9249999999956,6156.220000000001,,,,,,-583.75,1118.895000000004,11.279549127313638,583.75,
2021-03-16,1615852800,56384.01,56925.11,53198.2,56356.21,200068,4570,0,3,2021,1,2021-03-16,55715.88249999999,55061.655,1209.2275000000081,3726.9100000000035,,,,,,-27.80000000000291,-2327.0125000000116,7.005706960009932,27.80000000000291,
2021-03-17,1615939200,56356.21,58316.53,54116.78,57728.15,183841,4570,0,3,2021,2,2021-03-17,56629.417499999996,56216.655,1687.112500000003,4199.75,52090.862727272724,,,,,1371.9400000000023,913.5350000000035,7.760531945914003,1371.9400000000023,
2021-03-18,1616025600,57728.15,60077.14,56967.26,57466.35,186335,4570,0,3,2021,3,2021-03-18,58059.725000000006,58522.2,2017.4149999999936,3109.8799999999974,52494.82045454546,403.9577272727329,0.007754867286182243,,,-261.8000000000029,1430.30750000001,5.459065435128874,261.8000000000029,1672.4693021359856
2021-03-19,1616112000,57467.16,59436.46,56252.2,58385.19,173477,4570,0,3,2021,4,2021-03-19,57885.2525,57844.33,1551.2074999999968,3184.260000000002,52766.97454545454,272.1540909090836,0.005184398928361755,-131.80363636364928,-0.3314651641299643,918.8400000000038,-174.4725000000035,5.660685270976072,918.8400000000038,1632.8273212843678
2021-03-22,1616371200,57841.61,58398.83,54200.21,54520.68,178614,4570,0,3,2021,0,2021-03-22,56240.3325,56299.520000000004,2158.497500000005,4198.620000000003,52880.049999999996,113.0754545454547,0.0021429209371868208,-159.0786363636289,-0.5866597137300209,-3864.510000000002,-1644.9200000000055,7.746501351194032,3864.510000000002,1653.7989236758854
2021-03-23,1616457600,54520.68,55835.14,52977.15,54416.37,216049,4570,0,3,2021,1,2021-03-23,54437.335,54406.145000000004,1397.8050000000003,2857.989999999998,52829.13181818183,-50.918181818167795,-0.0009628996534263301,-163.9936363636225,-1.4493397944444948,-104.30999999999767,-1802.9974999999977,5.394759816260403,104.30999999999767,1664.1615096984747
2021-03-24,1616544000,54416.84,57187.11,53126.44,54009.29,170857,4570,0,3,2021,2,2021-03-24,54684.92,55156.775,2502.1900000000023,4060.6699999999983,52786.60590909091,-42.525909090916684,-0.0008049708111288467,8.392272727251111,-0.1640138115488129,-407.08000000000175,247.58499999999913,7.643406936357863,407.08000000000175,1671.1694984477815
2021-03-25,1616630400,54009.3,54196.27,50324.0,51977.14,232993,4570,0,3,2021,3,2021-03-25,52626.677500000005,52260.134999999995,1569.5924999999916,3872.269999999997,52970.16409090909,183.55818181818177,0.0034773628396245204,226.08409090909845,-5.319862026733688,-2032.1500000000015,-2058.242499999993,7.694678483427383,2032.1500000000015,1209.4765332653142
2021-03-26,1616716800,51977.14,54297.45,51212.6,54007.93,190997,4570,0,3,2021,4,2021-03-26,52873.78,52755.024999999994,1423.6699999999983,3084.8499999999985,53209.424999999996,239.26090909090271,0.004516899526312068,55.70272727272095,0.2989439798579647,2030.7900000000009,247.1024999999936,6.023615282176649,2030.7900000000009,1199.389405876593
2021-03-29,1616976000,55014.71,58376.76,54777.2,57206.65,161285,4570,0,3,2021,0,2021-03-29,56343.83,56576.979999999996,2032.9300000000003,3599.560000000005,53626.70227272727,417.277272727275,0.007842168426501095,178.01636363637226,0.7361839422857437,3198.720000000001,3470.050000000003,6.571274179768234,3198.720000000001,1223.544591995622
