Datetime,time,open,high,low,close,tick_volume,spread,real_volume,month,year,day_week,date,Mean,Mead,Max_Mean,Max_Min,SMA,SMA_Diff_1,SMA_Diff_Perc_1,SMA_Diff_2,SMA_Diff_Perc_2,Diff_Diff,Mean_Diff,Change,returns,volatility
2020-03-03,1583193600,1.27516,1.28436,1.27399,1.28115,121830,13,0,3,2020,1,2020-03-03,1.2786650000000002,1.279175,0.005694999999999784,0.01036999999999999,1.2934290909090909,-0.0017536363636365682,-0.001353968306332498,-0.0002068181818184467,0.13505952222956474,0.005950000000000122,0.0009625000000001993,0.8139781316964804,0.005950000000000122,0.004348377913221288
2020-03-04,1583280000,1.28107,1.28722,1.27694,1.28702,85592,13,0,3,2020,2,2020-03-04,1.2830625,1.28208,0.004157500000000036,0.010280000000000067,1.292874090909091,-0.0005549999999998612,-0.000429091941646198,0.001198636363636707,-0.6830856825530267,0.005870000000000042,0.004397499999999832,0.8050495716321885,0.005870000000000042,0.002789111054832844
2020-03-05,1583366400,1.28702,1.29677,1.28601,1.29426,74944,13,0,3,2020,3,2020-03-05,1.291015,1.29139,0.005754999999999955,0.01075999999999988,1.292481818181818,-0.0003922727272729354,-0.00030341139174439036,0.00016272727272692578,-0.292898881809894,0.007239999999999913,0.007952500000000029,0.8366964487056773,0.007239999999999913,0.002819726315355229
2020-03-06,1583452800,1.29422,1.3051599999999999,1.29386,1.30447,121470,13,0,3,2020,4,2020-03-06,1.2994275000000002,1.29951,0.005732499999999696,0.011299999999999866,1.2926854545454545,0.0002036363636364058,0.00015755452863763786,0.0005959090909093412,-1.5192769056290742,0.010210000000000052,0.008412500000000156,0.873355695361157,0.010210000000000052,0.002983029779715081
2020-03-09,1583712000,1.30752,1.31998,1.30338,1.31085,176811,13,0,3,2020,0,2020-03-09,1.3104325,1.31168,0.009547500000000042,0.016599999999999948,1.293509090909091,0.0008236363636364707,0.0006371514127743172,0.0006200000000000649,3.044005705730692,0.006380000000000052,0.01100499999999971,1.273611686538074,0.006380000000000052,0.002962166195781207
2020-03-10,1583798400,1.31251,1.31274,1.28809,1.29053,160817,13,0,3,2020,1,2020-03-10,1.3009675,1.300415,0.011772499999999964,0.02465000000000006,1.2936336363636363,0.00012454545454532173,9.628494721880543e-05,-0.000699090909091149,-0.8488821569121905,-0.020320000000000116,-0.009464999999999835,1.9136861554705076,0.020320000000000116,0.00435543766221464
2020-03-11,1583884800,1.29081,1.29758,1.28034,1.28125,119986,13,0,3,2020,2,2020-03-11,1.287495,1.2889599999999999,0.0100849999999999,0.017239999999999922,1.2931713636363638,-0.0004622727272725058,-0.00035734439355794567,-0.0005868181818178275,-4.711321487728382,-0.009279999999999955,-0.013472499999999998,1.3465173313338583,0.009279999999999955,0.004374391559423094
2020-03-12,1583971200,1.28167,1.28482,1.249,1.2564600000000001,147461,13,0,3,2020,3,2020-03-12,1.2679875,1.2669100000000002,0.016832500000000028,0.03581999999999996,1.2914140909090908,-0.001757272727272996,-0.0013588862054071393,-0.0012950000000004902,2.802735484044434,-0.024789999999999868,-0.01950750000000001,2.8678943154523586,0.024789999999999868,0.005846284719515917
2020-03-13,1584057600,1.2564600000000001,1.26238,1.22604,1.22709,167788,13,0,3,2020,4,2020-03-13,1.2429925,1.24421,0.019387500000000113,0.03634000000000004,1.28829,-0.0031240909090908264,-0.0024191240680141446,-0.0013668181818178304,0.7802256424329106,-0.029370000000000118,-0.0249950000000001,2.964014224658252,0.029370000000000118,0.007327949711187806
2020-03-16,1584316800,1.22632,1.24208,1.22014,1.22689,176136,13,0,3,2020,0,2020-03-16,1.2288575,1.2311100000000001,0.013222500000000137,0.02194000000000007,1.2847986363636363,-0.003491363636363598,-0.002710075865188455,-0.0003672727272727716,0.1202715482935739,-0.00019999999999997797,-0.014135000000000009,1.7981543101611348,0.00019999999999997797,0.007540619713988775
