Datetime,time,open,high,low,close,tick_volume,spread,real_volume,month,year,day_week,date,SMA_50,SMA_200,Volatility_pct,Volatility_abs,range,range_2,range_3,Above_SMA_50,Below_SMA_50,Above_SMA_200,Below_SMA_200
2024-06-20 23:00:00,1718924400,19798.03,19815.53,19790.53,19813.43,3273,85,0,6,2024,3,2024-06-20,19979.566,19603.806150000004,0.10622263883316105,72.88378227149899,38.54524999999998,25.0,15.400000000001455,False,True,True,False
2024-06-21 01:00:00,1718931600,19808.38,19826.03,19803.63,19822.78,1277,85,0,6,2024,4,2024-06-21,19977.394,19607.758400000002,0.10446999985614144,75.9046555792716,38.59724999999997,22.399999999997817,14.399999999997817,False,True,True,False
2024-06-21 02:00:00,1718935200,19823.03,19839.28,19823.03,19832.78,1210,85,0,6,2024,4,2024-06-21,19975.756999999998,19611.76815,0.10427889672964309,78.13570364773415,38.63474999999997,16.25,9.75,False,True,True,False
2024-06-21 03:00:00,1718938800,19832.03,19834.78,19796.78,19797.78,2635,85,0,6,2024,4,2024-06-21,19972.92,19615.5754,0.10511874162254461,81.95599179846424,38.754749999999966,38.0,-34.25,False,True,True,False
2024-06-21 04:00:00,1718942400,19798.28,19810.78,19795.03,19808.53,2702,85,0,6,2024,4,2024-06-21,19969.938,19619.41765,0.10451028456515517,85.17306712276526,38.77349999999997,15.75,10.25,False,True,True,False
2024-06-21 05:00:00,1718946000,19808.28,19822.03,19801.28,19820.53,1856,85,0,6,2024,4,2024-06-21,19967.246,19623.3324,0.10505475465393185,87.73908993074359,38.810999999999964,20.75,12.25,False,True,True,False
2024-06-21 06:00:00,1718949600,19820.53,19826.03,19815.78,19816.78,1156,85,0,6,2024,4,2024-06-21,19964.534,19627.4134,0.10505756783624745,90.26723581155733,38.64974999999997,10.25,-3.75,False,True,True,False
2024-06-21 07:00:00,1718953200,19816.78,19832.28,19813.28,19830.78,973,85,0,6,2024,4,2024-06-21,19962.102,19631.4994,0.10571699226523548,92.21837445753619,38.574749999999966,19.0,14.0,False,True,True,False
2024-06-21 08:00:00,1718956800,19830.78,19840.03,19827.28,19836.78,1506,85,0,6,2024,4,2024-06-21,19959.586,19635.7304,0.10550301523297434,93.90573467002613,38.489749999999965,12.75,6.0,False,True,True,False
2024-06-21 09:00:00,1718960400,19836.53,19848.53,19826.78,19832.28,2203,85,0,6,2024,4,2024-06-21,19956.516,19639.911399999997,0.10385809008859219,95.52705677108698,38.435999999999964,21.75,-4.25,False,True,True,False
2024-06-21 10:00:00,1718964000,19833.03,19834.28,19768.78,19792.03,5333,85,0,6,2024,4,2024-06-21,19952.761000000002,19643.8274,0.10718229896789067,98.24531348245324,38.552249999999965,65.5,-41.0,False,True,True,False
2024-06-21 11:00:00,1718967600,19791.78,19800.28,19711.53,19738.78,5692,85,0,6,2024,4,2024-06-21,19948.176,19647.424649999997,0.112761530034277,102.76370301317785,38.872249999999966,88.75,-53.0,False,True,True,False
2024-06-21 12:00:00,1718971200,19738.78,19780.53,19730.53,19771.78,4316,85,0,6,2024,4,2024-06-21,19944.235999999997,19651.348149999998,0.11587927812590597,105.69241068964921,38.889749999999964,50.0,33.0,False,True,True,False
2024-06-21 13:00:00,1718974800,19771.78,19793.28,19747.53,19780.53,3959,85,0,6,2024,4,2024-06-21,19940.321,19655.31165,0.11595072472975221,108.07970164180696,38.89349999999997,45.75,8.75,False,True,True,False
2024-06-21 14:00:00,1718978400,19780.53,19806.78,19754.03,19757.53,4258,85,0,6,2024,4,2024-06-21,19935.946,19658.803900000003,0.11671256824786587,110.98283947071637,38.754749999999966,52.75,-23.0,False,True,True,False
2024-06-21 15:00:00,1718982000,19759.28,19802.03,19742.53,19795.78,5685,85,0,6,2024,4,2024-06-21,19932.380999999998,19662.3699,0.12062569622728787,112.58584003493159,38.79849999999997,59.5,36.5,False,True,True,False
2024-06-21 16:00:00,1718985600,19795.53,19807.78,19678.28,19717.28,9961,85,0,6,2024,4,2024-06-21,19927.156,19665.457150000002,0.13180404080658312,116.39803948417654,39.25974999999997,129.5,-78.25,False,True,True,False
2024-06-21 17:00:00,1718989200,19715.53,19775.03,19706.78,19774.28,11111,85,0,6,2024,4,2024-06-21,19922.796,19668.85065,0.13855411858810296,117.98098534036396,39.287249999999965,68.25,58.75,False,True,True,False
2024-06-21 18:00:00,1718992800,19774.78,19830.03,19739.78,19830.03,9899,85,0,6,2024,4,2024-06-21,19919.591,19672.644149999996,0.14506105625283858,118.28657448292333,39.37724999999997,90.25,55.25,False,True,True,False
2024-06-21 19:00:00,1718996400,19830.28,19836.53,19755.03,19761.03,9117,85,0,6,2024,4,2024-06-21,19915.101,19675.90965,0.1524715171397887,119.98125750251404,39.50174999999997,81.5,-69.25,False,True,True,False
2024-06-21 20:00:00,1719000000,19760.53,19776.03,19711.53,19725.03,9178,85,0,6,2024,4,2024-06-21,19909.746,19679.0314,0.1538769928374675,122.39437446993041,39.672499999999985,64.5,-35.5,False,True,True,False
2024-06-21 21:00:00,1719003600,19724.53,19766.03,19720.53,19746.28,8670,85,0,6,2024,4,2024-06-21,19904.696,19682.30515,0.15485251695303356,123.8463265331839,39.83949999999997,45.5,21.75,False,True,True,False
2024-06-21 22:00:00,1719007200,19746.78,19777.53,19737.53,19743.53,8597,85,0,6,2024,4,2024-06-21,19899.731,19685.61765,0.15485422881199015,125.25207338236457,39.93449999999997,40.0,-3.25,False,True,True,False
2024-06-21 23:00:00,1719010800,19740.03,19775.03,19737.78,19772.43,2658,85,0,6,2024,4,2024-06-21,19895.214,19689.09465,0.1565433485610937,125.69719747436126,40.07324999999997,37.25,32.400000000001455,False,True,True,False
2024-06-24 01:00:00,1719190800,19792.98,19793.23,19772.88,19784.88,1654,85,0,6,2024,0,2024-06-24,19891.020999999997,19692.56265,0.15701015424609047,125.81330097771581,40.08749999999996,20.349999999998545,-8.099999999998545,False,True,True,False
2024-06-24 02:00:00,1719194400,19784.63,19797.63,19774.63,19777.38,1485,85,0,6,2024,0,2024-06-24,19886.697999999997,19696.0269,0.15701086918075322,125.93261186230143,40.14624999999997,23.0,-7.25,False,True,True,False
2024-06-24 03:00:00,1719198000,19777.63,19787.38,19769.63,19777.38,1919,85,0,6,2024,0,2024-06-24,19882.234999999997,19699.47865,0.15683113810413157,125.77019018688614,40.16874999999996,17.75,-0.25,False,True,True,False
2024-06-24 04:00:00,1719201600,19777.13,19779.63,19687.88,19721.38,5285,85,0,6,2024,0,2024-06-24,19876.917,19702.6604,0.1610151658953858,126.85478754591763,40.59624999999996,91.75,-55.75,False,True,True,False
2024-06-24 05:00:00,1719205200,19721.63,19733.88,19710.88,19718.63,2865,85,0,6,2024,0,2024-06-24,19871.543999999998,19705.74465,0.1609801287365357,127.77100411959282,40.61499999999997,23.0,-3.0,False,True,True,False
2024-06-24 06:00:00,1719208800,19718.88,19738.88,19718.88,19732.13,1841,85,0,6,2024,0,2024-06-24,19866.255999999998,19708.9439,0.16121642484965948,127.96385500447958,40.61874999999996,20.0,13.25,False,True,True,False
2024-06-24 07:00:00,1719212400,19731.88,19741.13,19722.13,19739.13,1560,85,0,6,2024,0,2024-06-24,19860.838,19712.1794,0.1608985532500501,127.48629232378495,40.609999999999964,19.0,7.25,False,True,True,False
2024-06-24 08:00:00,1719216000,19738.88,19765.63,19738.38,19761.38,2516,85,0,6,2024,0,2024-06-24,19855.65,19715.6824,0.16171783357230626,126.11540430865621,40.523749999999964,27.25,22.5,False,True,True,False
2024-06-24 09:00:00,1719219600,19760.88,19780.63,19755.63,19764.63,2630,85,0,6,2024,0,2024-06-24,19850.542,19719.2854,0.16179960708021715,124.4833353155498,40.506249999999966,25.0,3.75,False,True,True,False
2024-06-24 10:00:00,1719223200,19763.38,19797.63,19751.38,19788.63,3612,85,0,6,2024,0,2024-06-24,19845.334,19722.94715,0.16132934352656064,121.41919158671006,40.59624999999996,46.25,25.25,False,True,True,False
2024-06-24 11:00:00,1719226800,19787.38,19798.63,19766.63,19774.63,3515,85,0,6,2024,0,2024-06-24,19839.490999999998,19726.576399999998,0.16059220330884053,117.51179501745452,40.59799999999998,32.0,-12.75,False,True,True,False
2024-06-24 12:00:00,1719230400,19775.13,19778.88,19708.63,19723.38,3544,85,0,6,2024,0,2024-06-24,19832.228,19729.92065,0.16274080729660764,113.07014391410355,40.84549999999997,70.25,-51.75,False,True,False,True
2024-06-24 13:00:00,1719234000,19724.38,19746.13,19718.63,19736.88,3401,85,0,6,2024,0,2024-06-24,19825.55,19733.47115,0.16329056919174514,108.45975600806344,40.524999999999984,27.5,12.5,False,True,True,False
2024-06-24 14:00:00,1719237600,19736.63,19752.63,19719.63,19722.88,3424,85,0,6,2024,0,2024-06-24,19818.017,19736.43415,0.16135956116925976,101.9254628661199,40.134999999999984,33.0,-13.75,False,True,False,True
2024-06-24 15:00:00,1719241200,19723.13,19739.38,19692.13,19702.38,4773,85,0,6,2024,0,2024-06-24,19810.289,19739.573399999997,0.16161785888663982,95.41792214352813,40.009249999999994,47.25,-20.75,False,True,False,True
2024-06-24 16:00:00,1719244800,19702.63,19734.13,19635.88,19715.38,9314,85,0,6,2024,0,2024-06-24,19802.961,19742.675150000003,0.16229464813587502,87.9169122411973,40.32424999999999,98.25,12.75,False,True,False,True
2024-06-24 17:00:00,1719248400,19715.13,19764.13,19591.38,19677.13,11588,85,0,6,2024,0,2024-06-24,19794.923,19745.254399999998,0.16376988662184577,80.19474574922504,40.79299999999999,172.75,-38.0,False,True,False,True
2024-06-24 18:00:00,1719252000,19678.63,19701.38,19642.88,19687.88,10995,85,0,6,2024,0,2024-06-24,19787.555,19747.6599,0.1639640518027879,72.21919811515734,40.689249999999994,58.5,9.25,False,True,False,True
