Datetime,time,open,high,low,close,tick_volume,spread,real_volume,month,year,day_week,date,SMA_50,SMA_200,Volatility_pct,Volatility_abs,range,range_2,range_3,Above_SMA_50,Below_SMA_50,Above_SMA_200,Below_SMA_200
2024-08-19 11:00:00,1724065200,2.4282,2.4551,2.4267,2.4547,895,27,0,8,2024,0,2024-08-19,2.361906,2.348348,0.6217084606386892,0.04828077916455866,0.01979700000000002,0.02839999999999998,0.026499999999999968,True,False,True,False
2024-08-19 12:00:00,1724068800,2.4551,2.4559,2.4336,2.4472,802,27,0,8,2024,0,2024-08-19,2.362136,2.3486645,0.6230982340638099,0.04866535355606578,0.019778000000000014,0.022299999999999986,-0.007899999999999796,True,False,True,False
2024-08-19 13:00:00,1724072400,2.4467,2.4567,2.4426,2.4459,536,27,0,8,2024,0,2024-08-19,2.3626080000000003,2.3489065,0.6179008100335259,0.04937012994326061,0.019688500000000015,0.014100000000000001,-0.0007999999999999119,True,False,True,False
2024-08-19 14:00:00,1724076000,2.4457,2.456,2.4403,2.453,654,27,0,8,2024,0,2024-08-19,2.363212,2.3492935,0.6190707266575523,0.05029757830826117,0.019647500000000012,0.015699999999999825,0.007299999999999862,True,False,True,False
2024-08-19 15:00:00,1724079600,2.4529,2.4789,2.4297,2.4672,1725,27,0,8,2024,0,2024-08-19,2.364176,2.349651,0.6233487622779209,0.051827266324745304,0.019748500000000013,0.04919999999999991,0.01429999999999998,True,False,True,False
2024-08-19 16:00:00,1724083200,2.4657999999999998,2.4779,2.4399,2.4433,1704,27,0,8,2024,0,2024-08-19,2.3643720000000004,2.3498535,0.6340558634509381,0.0521125314554578,0.01984800000000001,0.03799999999999981,-0.022499999999999964,True,False,True,False
2024-08-19 17:00:00,1724086800,2.4429,2.45,2.4074,2.4167,1815,25,0,8,2024,0,2024-08-19,2.364398,2.3499445,0.6442188849671019,0.052138827593832066,0.020024500000000015,0.04260000000000019,-0.02619999999999978,True,False,True,False
2024-08-19 18:00:00,1724090400,2.4168,2.4521,2.4154,2.4509,1460,23,0,8,2024,0,2024-08-19,2.365806,2.3502115,0.6399835370849326,0.05351494321160197,0.020001500000000016,0.03670000000000018,0.03410000000000002,True,False,True,False
2024-08-19 19:00:00,1724094000,2.4507,2.456,2.4314,2.4368,1220,27,0,8,2024,0,2024-08-19,2.366778,2.350334,0.6450436321216487,0.05436460917374886,0.020010000000000017,0.024599999999999955,-0.013900000000000023,True,False,True,False
2024-08-19 20:00:00,1724097600,2.4367,2.4413,2.4356,2.4378,530,27,0,8,2024,0,2024-08-19,2.3677360000000003,2.3504955,0.6450302169311586,0.05519605783026736,0.019973000000000015,0.005700000000000038,0.001100000000000101,True,False,True,False
